id,E,N
1,331782.6247,186234.5408
2,331777.5608,186097.8174
3,331830.731,185963.626
4,331914.2842,185809.1792
5,332015.5608,185672.4558
6,332132.0289,185548.392
7,332263.6884,185449.6473
8,332415.6033,185353.4346
9,332608.0288,185244.5622
10,332757.4118,185145.8176
11,332899.199,185024.2857
12,332997.9437,184864.7751
13,333035.9224,184669.8176
14,333005.5394,184510.307
15,332929.582,184363.456
16,332802.9862,184263.4454
17,332648.5394,184187.4879
18,332514.348,184114.0624
19,332377.6246,184060.8922
20,332238.3693,184005.1901
21,332091.5182,183934.2965
22,331959.8587,183860.8709
23,331835.7949,183751.9986
24,331749.7098,183622.871
25,331704.1353,183463.3604
26,331704.1353,183291.8231
27,331757.3055,183106.9934
28,331820.6034,182960.1423
29,331916.8161,182818.3551
30,332005.4331,182666.4403
31,332086.4544,182505.0307
32,332126.965,182315.1371
