id,E,N
1,331782.624669,186234.540827
2,331777.56084,186097.817442
3,331830.731046,185963.625971
4,331914.284226,185809.179183
5,332015.560807,185672.455798
6,332132.028876,185548.391985
7,332263.688433,185449.647318
8,332415.603305,185353.434565
9,332608.028811,185244.56224
10,332757.411769,185145.817573
11,332899.198984,185024.285675
12,332997.943651,184864.775058
13,333035.922369,184669.817638
14,333005.539394,184510.307022
15,332929.581958,184363.455978
16,332802.986231,184263.445354
17,332648.539444,184187.487917
18,332514.347973,184114.062396
19,332377.624587,184060.89219
20,332238.369287,184005.19007
21,332091.518244,183934.296463
22,331959.858687,183860.870941
23,331835.794875,183751.998616
24,331749.70978,183622.870974
25,331704.135318,183463.360357
26,331704.135318,183291.823147
27,331757.305524,183106.993385
28,331820.603387,182960.142342
29,331916.81614,182818.355127
30,332005.433149,182666.440254
31,332086.454415,182505.030702
32,332126.965047,182315.137111
